date,decimal_year,Julian_Day,Year,GHIsat,GHIg
2010-11-18,2010.87945205479,322,2010,4.53460527342614,3.73796666666667
2010-11-19,2010.88219178082,323,2010,4.82005298870548,3.87683333333333
2010-11-20,2010.88493150685,324,2010,4.62386922742013,3.95891666666667
2010-11-22,2010.8904109589,326,2010,4.67162531169794,3.92555833333333
2010-11-23,2010.89315068493,327,2010,4.70464607657608,3.60788333333333
2010-11-24,2010.89589041096,328,2010,4.61243139740893,3.7338
2010-11-25,2010.89863013699,329,2010,4.49682542517783,3.80053333333333
2010-11-26,2010.90136986301,330,2010,4.61593421547723,3.63659166666667
2010-11-27,2010.90410958904,331,2010,4.47126779255336,3.78544166666667
2010-11-28,2010.90684931507,332,2010,4.5909503843591,3.692775
2010-11-29,2010.9095890411,333,2010,4.44361280398981,3.54315833333333
2010-11-30,2010.91232876712,334,2010,4.59533905695001,3.92749166666667
2010-12-01,2010.91506849315,335,2010,4.38120204910152,3.94735833333333
2010-12-02,2010.91780821918,336,2010,4.48577174699202,3.97
2010-12-03,2010.92054794521,337,2010,4.45183388575858,3.97358333333333
2010-12-04,2010.92328767123,338,2010,4.28486190043323,3.91496666666667
2010-12-05,2010.92602739726,339,2010,4.46266892887926,3.73355833333333
2010-12-14,2010.95068493151,348,2010,4.30596897039047,3.547575
2010-12-16,2010.95616438356,350,2010,4.24912385320411,3.51508333333333
2010-12-18,2010.96164383562,352,2010,3.3998299637104,3.34049166666667
2010-12-21,2010.9698630137,355,2010,3.66903599524924,3.26024166666667
2010-12-25,2010.98082191781,359,2010,4.22900701907134,3.62585833333333
2010-12-26,2010.98356164384,360,2010,4.00059114940739,3.68398333333333
2010-12-27,2010.98630136986,361,2010,3.97405622861101,3.72918333333333
2010-12-28,2010.98904109589,362,2010,4.20200458681981,3.64548333333333
2011-01-10,2011.02465753425,10,2011,4.3634411248572,3.79434166666667
2011-01-13,2011.03287671233,13,2011,4.54486758687519,3.90706666666667
2011-01-19,2011.04931506849,19,2011,4.44183370309992,3.88146666666667
2011-01-20,2011.05205479452,20,2011,4.54895713684114,3.92523333333333
2011-01-22,2011.05753424658,22,2011,4.78680539492494,4.06345
2011-02-14,2011.12054794521,45,2011,5.88516940523932,3.87798333333333
2011-02-18,2011.13150684931,49,2011,5.98676256048703,5.19675
2011-02-23,2011.14520547945,54,2011,6.10787994849454,5.4724
2011-02-27,2011.15616438356,58,2011,6.22702914461366,5.62778333333333
2011-02-28,2011.15890410959,59,2011,5.70952687211577,5.60153333333333
2011-03-02,2011.16438356164,61,2011,6.38033190356133,5.55626666666667
2011-03-03,2011.16712328767,62,2011,6.29518283342641,5.86103333333333
2011-03-04,2011.1698630137,63,2011,6.57091890675556,5.71966666666667
2011-03-07,2011.17808219178,66,2011,6.11031435302353,5.40821666666667
2011-03-13,2011.19452054795,72,2011,6.92708777858688,5.94145
2011-03-14,2011.19726027397,73,2011,6.9577230891752,6.45661666666667
2011-03-15,2011.2,74,2011,7.09227467787739,6.58383333333333
2011-03-16,2011.20273972603,75,2011,6.76439609631056,6.746175
2011-03-17,2011.20547945205,76,2011,7.12939275834689,6.75014166666667
2011-03-21,2011.21643835616,80,2011,6.88822207468745,6.31005
2011-03-26,2011.2301369863,85,2011,7.53574084759381,6.930475
2011-03-27,2011.23287671233,86,2011,7.6697744039743,6.86975833333333
2011-03-28,2011.23561643836,87,2011,7.40618327332793,6.93428333333333
2011-03-29,2011.23835616438,88,2011,7.7709518894106,6.9619
2011-03-30,2011.24109589041,89,2011,7.63929536076186,6.87008333333333
2011-03-31,2011.24383561644,90,2011,7.33949162193764,6.70205
2011-04-01,2011.24657534247,91,2011,7.111589295624,6.78518333333333
2011-04-02,2011.24931506849,92,2011,6.79718476891685,6.16021666666667
2011-04-07,2011.26301369863,97,2011,7.87134404696285,6.912025
2011-04-10,2011.27123287671,100,2011,7.68491452369658,7.173475
2011-04-11,2011.27397260274,101,2011,7.83516353124532,6.97019166666667
2011-04-13,2011.27945205479,103,2011,7.80270851744999,7.35765
2011-04-14,2011.28219178082,104,2011,8.08865529685582,7.55155
2011-04-15,2011.28493150685,105,2011,8.34948011588417,7.74563333333333
2011-04-16,2011.28767123288,106,2011,7.6188892543566,7.3209
2011-04-17,2011.2904109589,107,2011,7.58833835741802,7.37935833333333
2011-04-18,2011.29315068493,108,2011,7.45991450891598,7.00515
2011-04-20,2011.29863013699,110,2011,8.02877592537344,7.37115
2011-04-23,2011.30684931507,113,2011,8.7672483008959,7.89666666666667
2011-04-24,2011.3095890411,114,2011,8.55939492345012,7.90225
2011-04-25,2011.31232876712,115,2011,8.58618556997012,7.82008333333333
2011-04-26,2011.31506849315,116,2011,8.60771890474122,7.92808333333333
2011-04-29,2011.32328767123,119,2011,8.31138906232997,7.25748333333333
2011-05-01,2011.32876712329,121,2011,8.67892108859688,7.93781666666667
2011-05-02,2011.33150684932,122,2011,8.26425105530538,7.13311666666667
2011-05-03,2011.33424657534,123,2011,8.34774849591473,8.02418333333333
2011-05-07,2011.34520547945,127,2011,8.74626322141276,7.01616666666667
2011-05-08,2011.34794520548,128,2011,8.63913545009947,7.91261666666667
2011-05-09,2011.35068493151,129,2011,8.8758235255308,8.13565
2011-05-10,2011.35342465753,130,2011,9.00452561320381,8.27318333333333
2011-05-11,2011.35616438356,131,2011,9.06649918718389,8.15639166666667
2011-05-13,2011.36164383562,133,2011,8.48647901966273,6.7899
2011-05-16,2011.3698630137,136,2011,8.6544905936521,7.96921666666667
2011-05-18,2011.37534246575,138,2011,7.85666164302135,7.74645
2011-05-19,2011.37808219178,139,2011,8.94878851829332,8.29369166666667
2011-05-21,2011.38356164384,141,2011,9.03660366608515,7.43285
2011-05-22,2011.38630136986,142,2011,8.94575574862939,7.7018
2011-05-23,2011.38904109589,143,2011,9.14069431134859,8.41713333333333
2011-05-24,2011.39178082192,144,2011,8.72518824188041,7.73818333333333
2011-05-26,2011.39726027397,146,2011,9.03138299629826,8.04051666666667
2011-05-27,2011.4,147,2011,8.32971043054382,6.84205
2011-05-28,2011.40273972603,148,2011,8.72678155852837,6.92923333333333
2011-05-29,2011.40547945205,149,2011,8.753046709617,7.99548333333333
2011-05-30,2011.40821917808,150,2011,9.19607997440479,8.35851666666667
2011-05-31,2011.41095890411,151,2011,8.79827059204036,8.31126666666667
2011-06-01,2011.41369863014,152,2011,9.26715574667786,8.53133333333333
2011-06-02,2011.41643835616,153,2011,9.26535229060088,8.46516666666667
2011-06-03,2011.41917808219,154,2011,9.32240878135345,8.52466666666667
2011-06-04,2011.42191780822,155,2011,9.18078751589197,8.52508333333333
2011-06-05,2011.42465753425,156,2011,8.73760016126577,8.11365
2011-06-06,2011.42739726027,157,2011,9.2340937208181,8.46756666666667
2011-06-07,2011.4301369863,158,2011,8.96801695360824,8.34641666666667
2011-06-08,2011.43287671233,159,2011,9.24939637013536,8.49236666666667
2011-06-09,2011.43561643836,160,2011,8.88539356611137,8.43623333333333
2011-06-10,2011.43835616438,161,2011,9.09137132002718,8.24215833333333
2011-06-11,2011.44109589041,162,2011,8.96423267822229,8.54764166666667
2011-06-12,2011.44383561644,163,2011,9.15574087582295,8.47698333333333
2011-06-13,2011.44657534247,164,2011,8.76953079559735,8.50751666666667
2011-06-14,2011.44931506849,165,2011,8.69879293601957,8.12856666666667
2011-06-15,2011.45205479452,166,2011,9.29335685415738,8.45128333333333
2011-06-16,2011.45479452055,167,2011,8.89565614063202,8.46456666666667
2011-06-17,2011.45753424658,168,2011,9.17941845427115,8.43143333333333
2011-06-18,2011.4602739726,169,2011,8.90198253636855,8.58775
2011-06-19,2011.46301369863,170,2011,9.15564399299349,8.4807
2011-06-20,2011.46575342466,171,2011,9.1434258620118,8.58346666666667
2011-06-21,2011.46849315068,172,2011,9.06824160516683,8.45448333333333
2011-06-22,2011.47123287671,173,2011,9.27443054292124,8.6081
2011-06-23,2011.47397260274,174,2011,8.99118617402278,8.50221666666667
2011-06-24,2011.47671232877,175,2011,9.10577735233413,8.44698333333333
2011-06-25,2011.47945205479,176,2011,8.99518442789972,8.48491666666667
2011-06-26,2011.48219178082,177,2011,9.16586166753448,8.38498333333333
2011-06-27,2011.48493150685,178,2011,9.02648400496291,8.36565
2011-06-28,2011.48767123288,179,2011,9.03457244453481,8.46801666666667
2011-06-29,2011.4904109589,180,2011,9.03182910947692,8.40616666666667
2011-06-30,2011.49315068493,181,2011,8.91355813523852,8.42418333333333
2011-07-01,2011.49589041096,182,2011,9.15820366472084,8.5067
2011-07-02,2011.49863013699,183,2011,8.86049160605526,8.3456
2011-07-03,2011.50136986301,184,2011,8.97559502373358,8.32795
2011-07-04,2011.50410958904,185,2011,8.97754770714971,8.40153333333333
2011-07-05,2011.50684931507,186,2011,9.13194705380609,8.48688333333333
